"Timestamp","Participant ID","Round Number","Bicep Curls: Set 1","Bicep Curls: Set 2","Lateral Raises: Set 1","Lateral Raises: Set 2","Any researcher notes","Stagnant to Lively","Inert to Interactive","Apathetic to Responsive","Unfriendly to Friendly","Unkind to Kind","Unpleasant to Pleasant","Incompetent to Competent","Unintelligent to Intelligent","How strict did you feel the robot coach was?","How motivational did you feel the robot coach was?","How corrective did you feel the robot coach was?","Any additional comments"
"2023/06/02 1:14:01 PM AST","1","1","1","1","10","10","Forgot to do lateral raises","1","1","1","3","3","3","3","2","1","1","1",""
"2023/06/02 1:22:07 PM AST","1","2","1","1","2","2","","3","3","3","4","4","4","4","4","3","3","3",""
"2023/06/02 1:29:57 PM AST","1","3","2","2","3","3","","4","4","4","4","4","4","4","4","4","4","5",""
"2023/06/06 2:15:19 PM AST","2","1","2","3","5","6","","1","1","1","3","3","3","4","3","1","1","1","very boring robot on this round"
"2023/06/06 2:24:55 PM AST","2","2","2","2","4","5","The robot did not evaluate correctly The participant noticed that the robot is smiling. The participant said the robot is smiling and moving this time. The participant said the robot is treacherous. ","4","4","4","4","4","4","3","4","1","1","1","Gestures made me pay more attention to the robot"
"2023/06/06 2:32:53 PM AST","2","3","2","2","5","6","The participant said the robot had a larger smile. The participant was confused on what is means by getting a full range of motion of elbow. The robot was frequently telling the participant to speed up. The participant was not happy about the robot telling her to speed up","5","5","5","4","4","4","5","5","3","4","5","Definitely got me to work out harder than the other rounds and probably had better form too"
"2023/06/06 3:15:07 PM AST","3","1","4","3","5","5","","4","4","3","5","5","5","4","3","2","4","3","I would do another exercise session with the robot coach!"
"2023/06/06 3:22:54 PM AST","3","2","3","3","4","4","","5","5","5","5","4","5","4","4","3","4","4","Felt like a better and more enjoyable exercise session than what I would have experienced on my own!"
"2023/06/06 3:30:44 PM AST","3","3","3","2","5","5","","5","5","5","5","5","5","4","4","3","4","4","It would be nice to know more detailed information about the exercise corrections - e.g. if I am overextending or underextending my arms, instead of saying that I should be closer to 90 degrees "
"2023/06/07 11:15:48 AM AST","4","1","2","2","3","3","Participant asked if they were talking to the researcher or the robot","2","2","3","3","3","3","3","2","1","1","1",""
"2023/06/07 11:23:39 AM AST","4","2","2","2","3","3","Had to adjust the thresholds","4","5","4","4","4","3","2","3","4","3","4",""
"2023/06/07 11:30:47 AM AST","4","3","2","2","3","4","","4","4","5","4","3","4","2","2","4","3","4",""
"2023/06/07 1:24:20 PM AST","5","1","5","5","5","5","the participant said the robot looked mischievous.","4","3","3","4","3","4","4","4","4","3","1",""
"2023/06/07 1:31:31 PM AST","5","2","6","6","5","5","The participant misread the scale smh.","4","5","5","4","4","4","5","5","4","4","4","I definitely paid more attention to my form given that the robot was now giving me feedback on it. "
"2023/06/07 1:39:33 PM AST","5","3","6","6","5","5","","5","5","5","3","3","2","4","5","5","4","5","The coach was hard to please for the bicep curl workout, which both made me focus more on my form but also made it slightly less pleasant. More immediate feedback and encouragement on the corrections that I made (within the first second or so) would've improved the experience. "
"2023/06/08 11:13:15 AM AST","6","1","3","3","5","6","","1","2","1","2","3","3","4","1","3","1","1",""
"2023/06/08 11:21:07 AM AST","6","2","4","5","8","8","","3","3","4","4","3","4","3","3","4","3","4",""
"2023/06/08 11:28:54 AM AST","6","3","5","5","8","8","","3","4","3","2","2","3","3","3","4","2","5","I feel like it wasn't really responding to the changes that I made when it corrected me. It felt more like it was preprogrammed to make those comments."
"2023/06/08 1:10:12 PM AST","7","1","2","3","5","6","","3","2","2","3","3","4","3","3","2","3","1",""
"2023/06/08 1:17:46 PM AST","7","2","2","2","5","7","","4","4","4","3","3","4","4","4","3","3","4",""
"2023/06/08 1:25:21 PM AST","7","3","2","2","5","6","","5","4","4","5","4","5","4","4","3","5","5","I noticed that the robot would smile sometimes"
"2023/06/09 1:28:54 PM AST","8","1","2","2","3","4","The participant wond","3","2","2","3","3","3","3","2","4","1","1","The robot seemed to be saying the same thing every time which did not feel very engaging."
"2023/06/09 1:36:41 PM AST","8","2","2","2","4","5","The participant wondered if quori was doing lateral raises with her.","4","4","5","5","4","5","4","4","4","4","5",""
"2023/06/09 1:45:04 PM AST","8","3","2","4","7","9","","5","4","4","4","4","4","5","5","5","5","5","The robot told me to focus on certain parts of the exercise, and told me good job once I made corrections."
"2023/06/12 11:14:40 AM AST","9","1","2","3","3","4","","4","4","2","3","4","4","5","3","1","1","1",""
