ds,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU28,AU45,E0,E1,E2,E3,E4,S,slope,rpe
331320.551,1.20467,0.40145,0.0,0.907815,0.0,0.554362,0.0,0.0,0.0,0.0,0.333427,0.0,0.0,0.25141,0.0621797,0.0,0.0,0.111606,-2,-2,-2,-2,-2,0,0.03225078208148291,1.0062566517225011
331320.608,1.56262,0.450313,0.0,0.0,0.101069,0.516069,0.0,0.0,0.14226,0.088147,0.411777,0.0,0.827125,0.296163,0.0446044,0.0,0.0,0.111381,-2,-2,-2,-2,-2,0,0.03225078208148291,1.0080949463021067
331320.637,1.73462,0.161153,1.4123,0.0,0.0,1.0244,0.69909,0.0879007,0.239941,0.0,0.405945,0.0,0.613614,0.286804,0.0,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.03225078208148291,1.009030218981839
331320.666,1.766,0.0,2.23168,0.0,0.820222,1.16932,0.935379,0.215852,0.565276,1.35559,0.244988,0.0,0.374774,0.129627,0.165914,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.03225078208148291,1.0099654916634486
331320.694,2.10813,0.0,1.87219,0.0,0.784025,0.0,0.0,0.0,0.896082,0.0587494,0.531561,0.0,0.932085,0.0,0.675017,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.03225078208148291,1.0108685135614448
331320.723,1.70667,0.0,1.72407,0.0,0.0,0.638249,0.0,0.0,0.441557,0.986646,0.350736,0.0,0.968352,0.0391819,0.511244,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.03225078208148291,1.011803786241177
331320.837,0.0,0.418616,1.24964,0.311492,0.547657,0.694903,0.848908,0.0673899,0.0,0.0,0.225899,0.0,0.426558,0.0,0.451664,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.03225078208148291,1.015480375398511
331320.865,2.40256,0.241574,1.85587,0.0858515,0.0,0.683914,0.905236,0.704323,0.435664,0.432166,0.50578,0.0,0.187417,0.1886,0.487163,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.03225078208148291,1.0163833972965073
331320.895,2.12896,0.0,2.08311,0.0,0.0,0.791321,0.971854,0.175323,0.585364,0.461497,0.546504,0.0,0.225937,0.0,0.484751,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.03225078208148291,1.0173509207598528
331320.923,2.15454,0.0,1.99793,0.0,0.0,0.0,0.991675,0.779824,0.522026,0.45351,0.482395,0.0,0.0950575,0.0,0.690319,0.0,0.0,0.0,-2,-2,-2,-2,-2,0,0.03225078208148291,1.018253942657849
